"spc","condition","dist","bee","dance","run","start","end","frames","return_phase","circuit_dur","wag_phase","ret_phase","circuit"
"Apis cerena","BG",100," -W",1,1,36993,37020,27,84,111,540,1680,2220
"Apis cerena","BG",100," -W",1,2,37104,37132,28,80,108,560,1600,2160
"Apis cerena","BG",100," -W",1,3,37212,37236,24,86,110,480,1720,2200
"Apis cerena","BG",100," -W",1,4,37322,37342,20,80,100,400,1600,2000
"Apis cerena","BG",100," -W",1,5,37422,37449,27,95,122,540,1900,2440
"Apis cerena","BG",100," -W",1,6,37544,37570,26,80,106,520,1600,2120
"Apis cerena","BG",100," -W",1,7,37650,37670,20,NA,NA,400,NA,NA
"Apis cerena","BG",100,"W-",1,1,54307,54322,15,98,113,300,1960,2260
"Apis cerena","BG",100,"W-",1,2,54420,54436,16,117,133,320,2340,2660
"Apis cerena","BG",100,"W-",1,3,54553,54567,14,86,100,280,1720,2000
"Apis cerena","BG",100,"W-",1,4,54653,54672,19,105,124,380,2100,2480
"Apis cerena","BG",100,"W-",1,5,54777,54802,25,88,113,500,1760,2260
"Apis cerena","BG",100,"W-",1,6,54890,54912,22,NA,NA,440,NA,NA
"Apis cerena","BG",100," -W",2,1,61479,61490,11,88,99,220,1760,1980
"Apis cerena","BG",100," -W",2,2,61578,61596,18,82,100,360,1640,2000
"Apis cerena","BG",100," -W",2,3,61678,61704,26,80,106,520,1600,2120
"Apis cerena","BG",100," -W",2,4,61784,61806,22,92,114,440,1840,2280
"Apis cerena","BG",100," -W",2,5,61898,61917,19,79,98,380,1580,1960
"Apis cerena","BG",100," -W",2,6,61996,62015,19,95,114,380,1900,2280
"Apis cerena","BG",100," -W",2,7,62110,62138,28,86,114,560,1720,2280
"Apis cerena","BG",100," -W",2,8,62224,62243,19,85,104,380,1700,2080
"Apis cerena","BG",100," -W",2,9,62328,62336,8,100,108,160,2000,2160
"Apis cerena","BG",100," -W",2,10,62436,62456,20,98,118,400,1960,2360
"Apis cerena","BG",100," -W",2,11,62554,62577,23,83,106,460,1660,2120
"Apis cerena","BG",100," -W",2,12,62660,62681,21,103,124,420,2060,2480
"Apis cerena","BG",100," -W",2,13,62784,62809,25,85,110,500,1700,2200
"Apis cerena","BG",100," -W",2,14,62894,62912,18,NA,NA,360,NA,NA
"Apis cerena","BG",100,"R-",1,1,45968,45984,16,66,82,320,1320,1640
"Apis cerena","BG",100,"R-",1,2,46050,46068,18,71,89,360,1420,1780
"Apis cerena","BG",100,"R-",1,3,46139,46148,9,69,78,180,1380,1560
"Apis cerena","BG",100,"R-",1,4,46217,46232,15,84,99,300,1680,1980
"Apis cerena","BG",100,"R-",1,5,46316,46334,18,101,119,360,2020,2380
"Apis cerena","BG",100,"R-",1,6,46435,46454,19,86,105,380,1720,2100
"Apis cerena","BG",100,"R-",1,7,46540,46562,22,78,100,440,1560,2000
"Apis cerena","BG",100,"R-",1,8,46640,46650,10,74,84,200,1480,1680
"Apis cerena","BG",100,"R-",1,9,46724,46738,14,102,116,280,2040,2320
"Apis cerena","BG",100,"R-",1,10,46840,46866,26,78,104,520,1560,2080
"Apis cerena","BG",100,"R-",1,11,46944,46962,18,70,88,360,1400,1760
"Apis cerena","BG",100,"R-",1,12,47032,47046,14,84,98,280,1680,1960
"Apis cerena","BG",100,"R-",1,13,47130,47150,20,92,112,400,1840,2240
"Apis cerena","BG",100,"R-",1,14,47242,47256,14,96,110,280,1920,2200
"Apis cerena","BG",100,"R-",1,15,47352,47362,10,NA,NA,200,NA,NA
"Apis cerena","BG",100,"W-",2,1,4562,4582,20,77,97,400,1540,1940
"Apis cerena","BG",100,"W-",2,2,4659,4694,35,78,113,700,1560,2260
"Apis cerena","BG",100,"W-",2,3,4772,4805,33,71,104,660,1420,2080
"Apis cerena","BG",100,"W-",2,4,4876,4890,14,102,116,280,2040,2320
"Apis cerena","BG",100,"W-",2,5,4992,5022,30,69,99,600,1380,1980
"Apis cerena","BG",100,"W-",2,6,5091,5118,27,97,124,540,1940,2480
"Apis cerena","BG",100,"W-",2,7,5215,5238,23,97,120,460,1940,2400
"Apis cerena","BG",100,"W-",2,8,5335,5354,19,93,112,380,1860,2240
"Apis cerena","BG",100,"W-",2,9,5447,5462,15,84,99,300,1680,1980
"Apis cerena","BG",100,"W-",2,10,5546,5567,21,NA,NA,420,NA,NA
"Apis cerena","BG",100,"R-",2,1,31412,31428,16,84,100,320,1680,2000
