bee,dist,dance,run,frames,day,condition,distance,start.frame,end.frame,middle.frame,return.dur,wag_phase,ret_phase,circuit
OY,100,1,1,22,19-02-2017,OF,100,15336,15358,15347,NA,440,1180,1620
OY,100,1,2,23,19-02-2017,OF,100,15417,15440,15428.5,59,460,1040,1500
OY,100,1,3,35,19-02-2017,OF,100,15492,15527,15509.5,52,700,720,1420
OY,100,1,4,35,19-02-2017,OF,100,15563,15598,15580.5,36,700,700,1400
OY,100,1,5,19,19-02-2017,OF,100,15633,15652,15642.5,35,380,3080,3460
OY,100,1,6,28,19-02-2017,OF,100,15806,15834,15820,154,560,1420,1980
OY,100,1,7,36,19-02-2017,OF,100,15905,15941,15923,71,720,2300,3020
OY,100,1,8,17,19-02-2017,OF,100,16056,16073,16064.5,115,340,NA,NA
O-,100,1,1,17,19-02-2017,OF,100,16488,16505,16496.5,NA,340,1300,1640
O-,100,1,2,19,19-02-2017,OF,100,16570,16589,16579.5,65,380,1020,1400
O-,100,1,3,22,19-02-2017,OF,100,16640,16662,16651,51,440,1580,2020
O-,100,1,4,19,19-02-2017,OF,100,16741,16760,16750.5,79,380,1380,1760
O-,100,1,5,16,19-02-2017,OF,100,16829,16845,16837,69,320,1500,1820
O-,100,1,6,12,19-02-2017,OF,100,16920,16932,16926,75,240,1540,1780
O-,100,1,7,14,19-02-2017,OF,100,17009,17023,17016,77,280,1160,1440
O-,100,1,8,32,19-02-2017,OF,100,17081,17113,17097,58,640,1440,2080
O-,100,1,9,10,19-02-2017,OF,100,17185,17195,17190,72,200,1660,1860
O-,100,1,10,52,19-02-2017,OF,100,17278,17330,17304,83,1040,1420,2460
O-,100,1,11,26,19-02-2017,OF,100,17401,17427,17414,71,520,5940,6460
O-,100,1,12,33,19-02-2017,OF,100,17724,17757,17740.5,297,660,860,1520
O-,100,1,13,76,19-02-2017,OF,100,17800,17876,17838,43,1520,720,2240
O-,100,1,14,62,19-02-2017,OF,100,17912,17974,17943,36,1240,560,1800
